timestamp,cpm,minute
2021-01-01_00-01-18,21,1
2021-01-01_00-02-20,21,2
2021-01-01_00-03-22,17,3
2021-01-01_00-04-24,20,4
2021-01-01_00-05-26,27,5
2021-01-01_00-06-28,28,6
2021-01-01_00-07-30,12,7
2021-01-01_00-08-32,24,8
2021-01-01_00-09-34,20,9
2021-01-01_00-10-36,16,10
2021-01-01_00-11-38,23,11
2021-01-01_00-12-40,19,12
2021-01-01_00-13-42,21,13
2021-01-01_00-14-44,25,14
2021-01-01_00-15-46,20,15
2021-01-01_00-16-48,16,16
2021-01-01_00-17-49,13,17
2021-01-01_00-18-51,14,18
2021-01-01_00-19-53,17,19
2021-01-01_00-20-55,13,20
2021-01-01_00-21-57,19,21
2021-01-01_00-22-59,23,22
2021-01-01_00-24-01,18,23
2021-01-01_00-25-03,26,24
2021-01-01_00-26-05,16,25
2021-01-01_00-27-07,13,26
2021-01-01_00-28-09,19,27
2021-01-01_00-29-11,28,28
2021-01-01_00-30-13,25,29
2021-01-01_00-31-15,25,30
2021-01-01_00-32-17,29,31
2021-01-01_00-33-19,20,32
2021-01-01_00-34-21,24,33
2021-01-01_00-35-23,25,34
2021-01-01_00-36-25,19,35
2021-01-01_00-37-27,31,36
2021-01-01_00-38-29,28,37
2021-01-01_00-39-31,26,38
2021-01-01_00-40-33,25,39
2021-01-01_00-41-35,26,40
2021-01-01_00-42-37,16,41
2021-01-01_00-43-39,19,42
2021-01-01_00-44-41,14,43
2021-01-01_00-45-43,25,44
2021-01-01_00-46-45,21,45
2021-01-01_00-47-47,22,46
2021-01-01_00-48-49,19,47
2021-01-01_00-49-51,19,48
2021-01-01_00-50-53,26,49
2021-01-01_00-51-55,20,50
2021-01-01_00-52-57,19,51
2021-01-01_00-53-58,25,52
2021-01-01_00-55-00,28,53
2021-01-01_00-56-02,15,54
2021-01-01_00-57-04,23,55
2021-01-01_00-58-06,26,56
2021-01-01_00-59-08,16,57
2021-01-01_01-00-10,18,58
2021-01-01_01-01-12,25,59
2021-01-01_01-02-14,22,60
2021-01-01_01-03-16,25,61
2021-01-01_01-04-18,22,62
2021-01-01_01-05-21,24,63
2021-01-01_01-06-23,20,64
2021-01-01_01-07-24,16,65
2021-01-01_01-08-26,23,66
2021-01-01_01-09-28,26,67
2021-01-01_01-10-30,25,68
2021-01-01_01-11-32,29,69
2021-01-01_01-12-34,18,70
2021-01-01_01-13-36,23,71
2021-01-01_01-14-38,14,72
2021-01-01_01-15-40,17,73
2021-01-01_01-16-42,27,74
2021-01-01_01-17-44,14,75
2021-01-01_01-18-46,17,76
2021-01-01_01-19-49,22,77
2021-01-01_01-20-50,30,78
2021-01-01_01-21-53,23,79
2021-01-01_01-22-54,21,80
2021-01-01_01-23-56,26,81
2021-01-01_01-24-58,17,82
2021-01-01_01-26-00,23,83
2021-01-01_01-27-02,21,84
2021-01-01_01-28-04,20,85
2021-01-01_01-29-06,21,86
2021-01-01_01-30-08,20,87
2021-01-01_01-31-10,20,88
2021-01-01_01-32-12,25,89
2021-01-01_01-33-14,25,90
2021-01-01_01-34-16,20,91
2021-01-01_01-35-18,25,92
2021-01-01_01-36-20,20,93
2021-01-01_01-37-22,24,94
2021-01-01_01-38-24,15,95
2021-01-01_01-39-26,11,96
2021-01-01_01-40-28,27,97
2021-01-01_01-41-30,19,98
2021-01-01_01-42-31,25,99
2021-01-01_01-43-33,25,100
2021-01-01_01-44-35,21,101
2021-01-01_01-45-37,17,102
2021-01-01_01-46-39,14,103
2021-01-01_01-47-41,26,104
2021-01-01_01-48-43,18,105
2021-01-01_01-49-45,24,106
2021-01-01_01-50-47,25,107
2021-01-01_01-51-49,17,108
2021-01-01_01-52-51,19,109
2021-01-01_01-53-53,26,110
2021-01-01_01-54-55,26,111
2021-01-01_01-55-57,23,112
2021-01-01_01-56-59,26,113
2026-03-22_13-51-51,24,114
2026-03-22_13-52-53,19,115
2026-03-22_13-53-55,37,116
2026-03-22_14-07-41,27,117
2026-03-22_14-08-44,30,118
2026-03-22_14-09-46,35,119
2026-03-22_14-10-48,23,120
2026-03-22_14-11-50,16,121
2026-03-22_14-12-52,35,122
2026-03-22_14-13-54,25,123
2026-03-22_14-14-56,21,124
2026-03-22_14-15-58,11,125
2026-03-22_14-17-00,29,126
2026-03-22_14-18-01,32,127
2026-03-22_14-19-03,29,128
2026-03-22_14-20-05,21,129
2026-03-22_14-21-07,31,130
2026-03-22_14-22-09,23,131
2026-03-22_14-23-11,23,132
2026-03-22_14-24-13,18,133
2026-03-22_14-25-15,14,134
2026-03-22_14-26-17,25,135
2026-03-22_14-27-19,17,136
2026-03-22_14-28-21,23,137
2026-03-22_14-29-23,19,138
2026-03-22_14-30-26,23,139
2026-03-22_14-31-27,20,140
2026-03-22_14-32-29,26,141
2026-03-22_14-33-31,16,142
2026-03-22_14-34-33,21,143
2026-03-22_14-35-35,33,144
2026-03-22_14-36-37,17,145
2026-03-22_14-37-39,31,146
2026-03-22_14-38-41,20,147
2026-03-22_14-39-43,26,148
2026-03-22_14-40-45,32,149
2026-03-22_14-41-47,35,150
2026-03-22_14-42-49,33,151
2026-03-22_14-43-51,27,152
2026-03-22_14-44-53,19,153
2026-03-22_14-45-55,16,154
2026-03-22_14-46-56,21,155
2026-03-22_14-47-58,13,156
2026-03-22_14-49-00,24,157
2026-03-22_14-50-02,38,158
2026-03-22_14-51-04,30,159
2026-03-22_14-52-07,21,160
2026-03-22_14-53-08,29,161
2026-03-22_14-54-10,18,162
2026-03-22_14-55-12,26,163
2026-03-22_14-56-14,21,164
2026-03-22_14-57-16,31,165
2026-03-22_14-58-18,20,166
2026-03-22_14-59-20,19,167
2026-03-22_15-00-22,25,168
2026-03-22_15-01-27,22,169
2026-03-22_15-02-29,33,170
2026-03-22_15-03-31,25,171
2026-03-22_15-04-33,15,172
2026-03-22_15-05-35,27,173
2026-03-22_15-06-37,16,174
2026-03-22_15-07-39,28,175
2026-03-22_15-08-41,17,176
2026-03-22_15-09-43,29,177
2026-03-22_15-10-45,24,178
2026-03-22_15-11-47,24,179
2026-03-22_15-12-49,23,180
2026-03-22_15-13-51,29,181
2026-03-22_15-14-53,20,182
2026-03-22_15-15-55,24,183
2026-03-22_15-16-57,21,184
2026-03-22_15-17-59,21,185
2026-03-22_15-19-01,21,186
2026-03-22_15-20-03,19,187
2026-03-22_15-21-05,16,188
2026-03-22_15-22-07,18,189
2026-03-22_15-23-09,24,190
2026-03-22_15-24-10,29,191
2026-03-22_15-25-12,22,192
2026-03-22_15-26-14,25,193
2026-03-22_15-27-16,19,194
2026-03-22_15-28-18,21,195
2026-03-22_15-29-20,27,196
2026-03-22_15-30-22,25,197
2026-03-22_15-31-24,19,198
2026-03-22_15-32-26,18,199
2026-03-22_15-33-28,25,200
2026-03-22_15-34-30,20,201
2026-03-22_15-35-32,19,202
2026-03-22_15-36-34,25,203
2026-03-22_15-37-36,15,204
2026-03-22_15-38-38,25,205
2026-03-22_15-39-40,25,206
2026-03-22_15-40-42,21,207
2026-03-22_15-41-43,15,208
2026-03-22_15-42-45,18,209
2026-03-22_15-43-47,21,210
2026-03-22_15-44-49,24,211
2026-03-22_15-45-51,20,212
2026-03-22_15-46-53,18,213
2026-03-22_15-47-55,21,214
2026-03-22_15-48-57,22,215
2026-03-22_15-49-59,20,216
2026-03-22_15-51-01,21,217
2026-03-22_15-52-03,23,218
2026-03-22_15-53-05,28,219
2026-03-22_15-54-07,18,220
2026-03-22_15-55-09,20,221
2026-03-22_15-56-10,24,222
2026-03-22_15-57-13,28,223
2026-03-22_15-58-14,14,224
2026-03-22_15-59-16,24,225
2026-03-22_16-00-19,28,226
2026-03-22_16-01-21,24,227
2026-03-22_18-00-23,26,228
2026-03-22_18-01-25,21,229
2026-03-22_18-02-27,28,230
2026-03-22_18-03-28,19,231
2026-03-22_18-04-31,30,232
2026-03-22_18-05-33,20,233
2026-03-22_18-06-35,18,234
2026-03-22_18-07-38,22,235
2026-03-22_18-08-40,19,236
2026-03-22_18-09-42,23,237
2026-03-22_18-10-43,28,238
2026-03-22_18-11-45,21,239
2026-03-22_18-12-47,20,240
2026-03-22_18-13-49,21,241
2026-03-22_18-14-51,26,242
2026-03-22_18-15-53,20,243
2026-03-22_18-16-55,16,244
