timestamp,cpm,minute
2026-03-24_06-05-31,18,1
2026-03-24_06-06-34,20,2
2026-03-24_06-07-36,20,3
2026-03-24_06-08-38,18,4
2026-03-24_06-09-40,24,5
2026-03-24_06-10-42,16,6
2026-03-24_06-11-44,18,7
2026-03-24_06-12-46,26,8
2026-03-24_06-13-48,20,9
2026-03-24_06-14-50,23,10
2026-03-24_06-15-52,22,11
2026-03-24_06-16-54,26,12
2026-03-24_06-17-56,21,13
2026-03-24_06-18-58,16,14
2026-03-24_06-20-00,12,15
2026-03-24_06-21-02,20,16
2026-03-24_06-22-04,17,17
2026-03-24_06-23-06,27,18
2026-03-24_06-24-08,21,19
2026-03-24_06-25-10,24,20
2026-03-24_06-26-12,26,21
2026-03-24_06-27-14,17,22
2026-03-24_06-28-16,16,23
2026-03-24_06-29-18,19,24
2026-03-24_06-31-30,23,25
2026-03-24_06-32-32,20,26
2026-03-24_06-33-34,24,27
2026-03-24_06-34-36,26,28
2026-03-24_06-35-40,15,29
2026-03-24_06-36-41,21,30
2026-03-24_06-37-43,24,31
2026-03-24_06-38-45,18,32
2026-03-24_06-39-47,23,33
2026-03-24_06-40-49,23,34
2026-03-24_06-41-51,26,35
2026-03-24_06-42-53,16,36
2026-03-24_06-43-55,18,37
2026-03-24_06-44-57,23,38
2026-03-24_06-45-59,19,39
2026-03-24_06-47-01,16,40
2026-03-24_06-48-03,22,41
2026-03-24_06-49-05,22,42
2026-03-24_06-50-07,20,43
2026-03-24_06-51-10,16,44
2026-03-24_06-52-12,22,45
2026-03-24_06-53-14,18,46
2026-03-24_06-54-16,17,47
2026-03-24_06-55-18,27,48
2026-03-24_06-56-20,24,49
2026-03-24_06-57-22,23,50
2026-03-24_06-58-24,20,51
2026-03-24_06-59-26,23,52
2026-03-24_07-00-28,21,53
2026-03-24_07-01-30,14,54
2026-03-24_07-02-32,24,55
2026-03-24_07-03-34,25,56
2026-03-24_07-04-36,14,57
2026-03-24_07-05-38,18,58
2026-03-24_07-06-40,21,59
2026-03-24_07-07-42,29,60
2026-03-24_07-08-44,32,61
2026-03-24_07-09-46,21,62
2026-03-24_07-10-48,15,63
2026-03-24_07-11-50,14,64
2026-03-24_07-12-52,22,65
2026-03-24_07-13-54,20,66
2026-03-24_07-14-56,18,67
2026-03-24_07-15-58,19,68
2026-03-24_07-17-00,13,69
2026-03-24_07-18-02,12,70
2026-03-24_07-19-04,26,71
2026-03-24_07-20-06,17,72
2026-03-24_07-21-08,28,73
2026-03-24_07-22-10,20,74
2026-03-24_07-23-12,32,75
2026-03-24_07-24-41,25,76
2026-03-24_07-25-43,24,77
2026-03-24_07-26-45,23,78
2026-03-24_07-27-47,15,79
2026-03-24_07-28-49,22,80
2026-03-24_07-29-50,26,81
